Accession	Lineage
GCA_021184125.1	M1300706001A
GCF_030707995.1	R6
GCF_023653885.1	EC2648-R1-1
GCA_029989965.1	AVS0171
GCF_022654245.1	EV36 mutant 1a
GCF_015571595.1	Res13-Lact-PER13-34
GCF_900635215.1	NCTC9038
GCF_030035565.1	82.0311
GCF_017570585.1	MIN14
GCA_024584645.1	YL3
GCF_014607555.1	RM8995-C1
GCF_024918115.1	5392
GCA_029991165.1	AVS0786
GCF_001021615.1	APEC O18
GCF_022493215.1	A35
GCA_030142205.1	HT-948
GCA_020042705.1	RP437
GCA_003966465.1	E2865
GCF_021131915.1	D16EC0480
GCF_000019425.1	K-12 substr. DH10B
GCF_000831565.1	ECC-1470
GCF_028622955.1	KW21
GCF_001900655.1	D4
GCF_032681145.1	DCM200-113
GCF_024700885.2	MLI121
GCF_000148605.1	UM146
GCF_023546845.1	AGR6128
GCF_021131975.1	D16EC0209
GCF_001865295.1	PA20
GCF_029962405.1	FP4
GCF_022591215.1	ER2683
GCF_003181035.1	DA33135
GCA_029990415.1	AVS0578
GCA_030708135.1	S14
GCF_027944895.1	DETEC-P169
GCA_020883255.1	RIVM_C039227
GCF_016776305.1	RIVM_C017887
GCF_017165235.1	Z1504
GCF_022493275.1	A33
GCF_024918135.1	4973
GCA_027944575.1	DETEC-S792
GCF_022220885.1	GDAR2-2
GCA_027925805.1	PV0838
GCF_021132855.1	B16EC0899
GCF_013167035.1	NEB10-beta
GCF_005221825.1	117
GCF_001886755.1	MRSN346595
GCF_003288275.1	RM9975
GCF_020526745.1	g83
GCA_024329785.2	MLI102
GCF_030296215.1	B27
GCA_021133135.1	B16EC0331
GCA_032297255.1	Escherichia coli EC12401
GCF_024584945.1	442/2
GCA_019969645.1	AH02
GCA_026506375.1	MS1665
GCA_021133235.1	A17EC0191
GCF_003991155.1	EC17GD31
GCA_002967935.2	ESY001
GCA_021130755.1	F16EC0362
GCF_023653865.1	EC2648-R1
GCF_016806045.1	XH992
GCA_022494805.1	KOr021
GCF_008124265.1	PG20180059
GCA_024971895.1	BL12
GCF_030708535.1	R14
GCA_024225755.1	LH10-b-1
GCF_021133275.1	A17EC0079
GCA_000988465.1	SQ2203
GCF_002357915.1	20Ec-P-124
GCF_003073955.1	AR434
GCA_021131935.1	D16EC0456
GCF_021130945.1	F16EC0211
GCF_010365485.1	53
GCF_030996485.1	CUVET19-1704
GCF_030013735.1	ETEC1731
GCF_014162235.1	WP8-S17-ESBL-08
GCA_029536615.1	B1172
GCF_004358965.1	CJ236
GCF_023657915.1	Z0117EC0148
GCF_031787095.1	M21816
GCF_004135915.1	U14A
GCF_002952695.1	FORC_042
GCF_949786275.1	EC0880B
GCF_002903105.1	ECONIH5
GCF_002967875.2	EBJ003
GCF_027944995.1	DETEC-E223
GCF_030012585.1	2-331
GCA_030734165.1	PNUSAE145743
GCF_007833295.1	BCE049
GCF_030345515.1	SY22A4
GCF_016944655.1	EF7-18-51
GCF_024918235.1	ST131
GCF_015649805.1	20
GCF_022559685.1	WCHEC005215
GCF_012221565.1	8-3-Ti3
GCF_016904395.1	FDAARGOS_1277
GCF_014117405.1	BUCT2930
GCF_000493595.2	PMV-1
GCF_013085025.1	SCU-482
GCA_030708215.1	S8
GCF_003399885.2	CFSAN061763
GCA_032296485.1	Escherichia coli EC16019
GCF_029542525.1	NC101
GCF_030162015.2	VE-F5
GCF_021398935.1	LF82
GCF_021131665.1	E16EC0316
GCA_024499265.1	LP50-1
GCF_025642235.1	B-JRPT-4119
GCF_014169455.1	WP7-S17-ESBL-01
GCA_031852315.1	RIVM_C040348
GCA_031357085.1	EPSSH018
GCF_029625115.1	E14
GCF_002012005.1	Ecol_517
GCF_016775845.1	RIVM_C018567
GCF_030295525.1	JNE131328
GCA_020423145.1	Balcarce_24.2
GCF_021166015.1	7386Nal
GCF_030142475.1	BW25113
GCF_022569795.1	131
GCA_029989245.1	AVS0283
GCF_024918015.1	2779 - blood draw same patient as MB9267
GCF_022493195.1	A36
GCF_030908685.1	PNUSAE146742
GCF_030347155.1	APEC E16002
GCF_013282195.1	NMBU_ W06E18
GCF_030039345.1	AVS0343
GCA_023546865.1	AGR4587
GCF_003966425.1	E2855
GCF_021131045.1	F16EC0052
GCF_009950475.1	STEC367
GCF_004088295.1	EC25
GCA_019969585.1	0H26
GCF_022493555.1	A17
GCA_030285525.1	APEC37
GCF_021133455.1	A16EC0305
GCA_021133375.1	A16EC0684
GCF_030012665.1	ETEC1716
GCF_021130435.1	F17EC0190
GCF_000833145.1	BL21 (TaKaRa)
GCA_024331375.2	MLI108K2
GCF_002180215.1	AR_0151
GCA_021130635.1	F16EC0589
GCA_021131465.1	E16EC0715
GCA_021131785.1	D17EC0020
GCF_023653845.1	EC2648-Vir2
GCF_022439465.1	EV36
GCF_030515495.1	MS20653
GCF_025782825.1	HUM3355
GCF_031544605.1	B-LamR
GCA_900635145.1	NCTC9066
GCA_000981485.1	K-12 substr. AG100
GCA_030013325.1	ETEC4070
GCF_009832985.1	BL21-AI
GCA_029990375.1	AVS0151
GCF_022494765.1	KMi006
GCA_030996425.1	CUVET21-H2
GCF_029026925.1	BY63
GCF_022811545.1	JW5503
GCA_027945055.1	DETEC-C31
GCA_022494645.1	KFu023
GCA_024662255.1	BE311
GCA_018798845.1	AVS0096
GCA_025369735.1	HBUT-L
GCF_033439065.1	HNSQ2209
GCF_030384825.1	VG12A2
GCA_025369795.1	E7
GCA_030013105.1	ETEC4090
GCF_034642615.1	KE54
GCA_029537195.1	USVAST219
GCF_030717485.1	JCH767
GCF_002208865.2	FDAARGOS_293
GCF_016889485.1	E41
GCF_014170675.1	64.1
GCF_024331425.2	MLI106K1
GCF_003399775.2	CFSAN061769
GCF_014623405.1	RM12367-C1
GCA_030389315.1	TUM13770
GCF_004358985.1	BH212
GCF_016942655.1	EM06-18-14
GCF_023516095.1	19SZHZ663Rt
GCA_030036755.1	AVS0744
GCA_029990555.1	AVS0968
GCF_025369915.1	E6
GCF_030012785.1	ETEC1701
GCA_032365155.1	TW10573
GCF_034336645.1	TP10-1
GCA_021184105.1	M1300706002
GCA_902703415.1	BEN5202
GCF_016446335.1	QEC11-421
GCA_021132895.1	B16EC0875
GCA_024226085.1	LH09-a
GCF_013168195.1	7636
GCA_000953515.1	K-12 substr. HMS174
GCF_026506395.1	MS1494
GCA_018415975.1	TCM_B_2
GCF_013282355.1	NMBU-W10C18
GCF_027944655.1	DETEC-S565
GCF_001577325.1	ZH063
GCF_024917455.1	4224
GCA_023658345.1	Z0117EC0040
GCF_019645975.1	25POL
GCF_025996495.1	CEC08123
GCF_030013675.1	ETEC1734
GCA_021131145.1	E17EC0401
GCA_022349925.1	ISHS7
GCF_022559065.1	WCHEC115106
GCF_002787545.1	CREC-629
GCA_025583295.2	YZMc17-1
GCF_017088405.1	99COLEC
GCF_025254605.1	THB42-F3
GCF_017088445.1	40EC
GCF_025996795.1	TUM1881
GCA_030142245.1	HT-947
GCF_021130715.1	F16EC0470
GCF_030991425.1	MS8320
GCA_034334925.1	TP10-3
GCA_021130515.1	F17EC0079
GCA_029223645.1	MRE162 substr. UK
GCF_028752735.1	CM2010-0578/1
GCF_029224085.1	XJ55
GCF_013340825.1	TUM18781
GCF_022492995.1	A42
GCF_002863685.1	SMN152SH1
GCA_030413745.1	STEC1589
GCF_009762385.1	P276M
GCF_024298765.1	EC21Z-147
GCF_024918815.1	1579
GCF_013426115.1	005008
GCF_004299805.1	S65EC
GCF_030013595.1	ETEC1738
GCF_022494725.1	KFu022
GCA_025643135.1	B2
GCF_023657935.1	Z0117EC0133
GCF_000599685.1	ST2747
GCA_021130655.1	F16EC0557
GCF_014076685.2	1409
GCF_024918155.1	4069
GCF_013167015.1	BL21(DE3)
GCF_030515435.1	MS20657
GCF_030908665.1	PNUSAE145590
GCF_011404595.1	2018-10-1CC
GCF_030013385.1	ETEC4067
GCF_025996855.1	TUM1886
GCF_015534935.1	CETR3G40
GCF_022493855.1	A2
GCA_030013785.1	ETEC1729
GCF_015290725.1	25DN
GCF_001900515.1	C3
GCF_003030365.1	675SK2
GCF_014607535.1	RM10425-C1
GCA_027944775.1	DETEC-P793
